# https://en.wikipedia.org/wiki/ECMAScript
1997-06-01 1
1998-06-01 2
1999-12-01 3
2009-12-01 5
2011-06-01 5.1
2015-06-01 2015
2016-06-01 2016
2017-06-01 2017
2018-06-01 2018
2019-06-01 2019
2020-06-01 2020
2021-06-01 2021
# https://en.wikipedia.org/wiki/ECMAScript_version_history
2022-06-01 2022
2023-06-01 2023
2024-06-01 2024
2025-06-01 2025
